X0,X1,X2,X3,X4,X5,X6,X7,X8,Y
1,0.78,575.51,296.45,198.45,3.85,2.97,0.0,0.0,6.4
1,0.7,859.7,242.55,198.45,3.85,4.4,0.0,0.0,6.37
1,0.71,703.4,326.1,218.3,2.84,4.5,0.0,0.0,6.4
2,0.76,595.35,323.4,178.6,3.85,2.42,0.0,0.0,6.85
0,0.84,727.65,238.14,218.3,4.24,2.7,0.0,0.0,6.79
0,0.68,661.5,321.1,178.6,3.47,4.4,0.0,0.0,6.77
1,0.62,661.5,264.6,198.45,3.47,4.05,0.0,0.0,6.81
1,0.59,615.19,315.32,242.55,3.85,1.98,0.0,0.0,7.18
2,0.8,683.55,257.98,266.8,2.84,2.97,0.0,0.0,7.1
1,0.53,683.55,315.32,218.3,2.84,3.6,0.0,0.0,7.1
1,0.66,683.55,286.65,218.3,3.85,6.05,0.0,0.0,7.1
2,0.64,635.04,377.3,242.55,3.47,2.2,0.0,0.0,10.85
2,0.52,635.04,377.3,242.55,3.47,3.63,0.0,0.0,10.54
2,0.63,776.16,415.03,266.8,3.5,3.96,0.0,0.0,10.77
0,0.63,948.64,415.03,198.45,3.47,4.05,0.0,0.0,10.56
1,0.61,978.29,367.5,266.8,3.15,1.62,0.0,0.0,8.6
1,0.61,727.65,363.83,198.45,2.84,2.97,0.0,0.0,8.49
1,0.75,654.88,363.82,218.3,3.15,3.6,0.0,0.0,8.45
2,0.5,800.42,363.83,218.3,4.24,4.05,0.0,0.0,8.5
0,0.88,463.05,291.06,110.25,6.93,1.98,0.11,1.21,24.58
1,0.88,565.95,355.74,99.23,6.93,2.97,0.11,1.21,24.63
1,0.79,509.36,291.06,89.31,8.47,4.84,0.09,0.9,24.63
1,1.08,514.5,291.06,109.15,6.93,4.95,0.12,0.99,24.59
2,0.89,619.85,257.98,99.23,6.93,2.42,0.09,0.9,29.03
1,0.99,557.86,257.98,121.28,6.93,3.63,0.08,1.21,29.87
2,1.09,619.85,350.35,110.25,7.0,3.6,0.09,1.1,29.14
0,0.89,619.85,315.32,134.75,8.47,6.05,0.11,0.99,28.09
1,0.86,582.12,323.4,132.3,6.93,2.2,0.11,0.99,26.28
1,0.85,711.48,238.14,161.7,6.93,2.43,0.08,0.99,26.91
0,0.85,529.2,291.06,132.3,8.47,4.4,0.12,0.81,26.37
1,1.04,582.12,323.4,145.53,5.67,4.95,0.1,0.9,25.27
0,0.81,496.12,286.65,145.53,7.7,2.0,0.09,0.99,23.53
1,0.99,741.13,315.32,177.87,8.47,3.63,0.1,1.1,24.03
1,0.74,741.13,350.35,132.3,6.93,3.96,0.08,1.1,23.54
0,0.81,551.25,315.32,119.07,7.7,5.5,0.09,1.21,22.58
2,0.64,573.3,339.57,145.53,6.3,1.98,0.11,1.21,35.56
2,0.71,630.63,308.7,119.07,8.47,3.3,0.09,1.1,37.12
1,0.96,630.63,339.57,145.53,7.7,3.96,0.08,1.21,36.9
0,0.78,770.77,415.03,177.87,7.7,4.95,0.11,1.21,35.94
0,0.75,727.65,412.34,121.28,6.3,1.98,0.11,0.9,32.96
1,0.84,800.42,412.34,110.25,7.7,2.43,0.1,0.99,32.12
0,0.61,535.82,412.34,148.23,6.93,3.24,0.1,0.9,32.94
1,0.75,654.89,416.5,121.28,8.47,4.05,0.09,0.9,32.21
2,0.89,555.66,242.55,198.45,3.15,1.62,0.11,1.21,10.36
0,0.67,686.0,242.55,178.6,3.47,2.97,0.1,0.81,10.43
2,0.74,754.6,269.5,266.8,3.47,3.6,0.1,1.1,10.36
2,0.74,617.4,296.45,218.3,3.15,4.5,0.11,1.1,10.39
2,0.78,703.4,326.1,198.45,4.24,1.62,0.09,0.99,10.71
1,0.7,703.4,266.8,178.6,2.84,2.97,0.1,0.9,10.8
2,0.64,710.5,242.55,218.3,4.24,4.4,0.08,0.99,10.7
0,0.78,703.4,269.5,242.55,3.47,4.95,0.12,0.99,10.75
0,0.68,661.5,355.74,218.3,3.47,2.42,0.1,1.21,11.11
2,0.68,727.65,323.4,242.55,4.24,2.43,0.09,0.99,11.13
2,0.76,727.65,323.4,266.8,3.85,4.4,0.09,1.21,11.09
2,0.84,727.65,238.14,198.45,2.84,4.05,0.1,0.99,11.16
2,0.59,615.19,315.32,218.3,3.47,2.2,0.08,0.9,11.68
0,0.73,751.9,385.39,218.3,3.85,2.7,0.12,0.9,11.69
0,0.65,751.9,286.65,198.45,3.85,4.84,0.08,0.99,11.7
1,0.65,683.55,315.32,242.55,3.15,4.5,0.08,0.99,11.69
1,0.64,776.16,321.1,242.55,3.85,1.8,0.1,1.1,15.41
0,0.63,635.04,415.03,242.55,3.15,3.0,0.09,0.9,15.2
1,0.64,705.6,308.7,198.45,3.47,3.24,0.1,0.9,15.42
1,0.52,862.4,308.7,242.55,3.47,5.5,0.1,1.21,15.21
1,0.5,727.65,297.68,178.6,2.84,1.8,0.1,0.99,12.96
1,0.62,800.42,367.5,218.3,3.15,3.3,0.09,0.99,12.97
1,0.68,727.65,363.82,218.3,3.15,3.6,0.12,1.21,12.93
0,0.5,978.29,297.68,218.3,3.47,4.95,0.09,0.81,13.02
2,1.19,514.5,238.14,121.28,6.93,1.8,0.09,1.98,24.29
1,0.97,509.36,323.4,99.23,5.67,2.97,0.12,1.98,24.31
0,0.79,565.95,323.4,99.23,6.93,4.84,0.11,1.98,24.13
1,0.97,622.55,355.74,109.15,6.93,4.95,0.12,1.98,24.25
1,0.81,456.44,350.35,121.28,6.93,1.98,0.08,2.42,28.88
0,0.73,507.15,315.32,121.28,6.93,2.7,0.09,1.98,29.68
2,0.99,557.86,257.98,110.25,6.3,3.96,0.08,2.2,28.83
2,0.89,681.84,385.39,121.28,6.93,6.05,0.1,1.8,27.9
0,0.77,582.12,355.74,147.0,8.47,2.2,0.12,1.98,26.48
0,0.95,582.12,323.4,161.7,8.47,3.63,0.09,2.2,27.02
1,1.04,582.12,291.06,161.7,7.7,3.96,0.09,2.42,26.33
0,0.69,529.2,291.06,119.07,7.0,4.05,0.1,2.2,25.36
0,0.74,496.12,257.98,119.07,6.3,1.98,0.12,1.98,23.75
1,0.67,673.75,385.39,177.87,6.3,2.97,0.12,1.8,24.23
0,0.99,496.12,315.32,177.87,6.3,3.96,0.1,1.98,23.67
0,0.9,606.38,286.65,177.87,6.93,4.05,0.11,1.98,22.79
2,0.64,573.3,339.57,119.07,5.67,1.62,0.08,1.62,35.65
1,0.87,770.77,377.3,147.0,7.7,3.63,0.12,2.42,37.26
1,0.78,700.7,377.3,145.53,6.3,4.84,0.1,1.8,36.97
1,0.87,770.77,339.57,145.53,5.67,4.5,0.1,1.98,36.03
0,0.84,654.89,412.34,99.23,6.93,2.2,0.09,1.98,33.16
0,0.76,727.65,337.36,148.23,5.67,3.3,0.08,1.98,32.4
2,0.68,727.65,412.34,99.23,6.3,3.96,0.1,2.0,33.12
2,0.68,800.42,416.5,148.23,7.7,5.0,0.08,1.98,32.41
0,0.74,555.66,269.5,266.8,3.47,1.8,0.12,1.98,10.42
2,0.73,617.4,321.1,218.3,3.47,2.43,0.09,2.0,10.46
2,0.74,754.6,296.45,218.3,3.47,3.6,0.1,1.98,10.32
2,0.74,679.14,242.55,218.3,3.47,4.95,0.12,2.42,10.45
0,0.7,575.51,218.3,218.3,3.47,1.8,0.1,1.8,10.64
2,0.7,575.51,269.5,242.55,3.15,3.3,0.09,1.8,10.72
2,0.78,703.4,218.3,242.55,3.85,3.24,0.09,1.8,10.55
0,0.86,575.51,218.3,266.8,3.47,4.95,0.1,1.8,10.68
0,0.84,727.65,264.6,178.6,3.15,2.2,0.1,2.2,11.45
1,0.62,889.35,294.0,218.3,2.84,2.97,0.12,2.42,11.46
1,0.76,808.5,291.06,218.3,3.47,3.6,0.11,1.98,11.32
1,0.62,661.5,291.06,178.6,3.5,4.95,0.09,1.62,11.49
2,0.65,835.45,350.35,266.8,3.47,1.8,0.1,2.2,11.45
2,0.59,615.19,385.39,266.8,3.15,3.3,0.1,2.42,11.42
2,0.53,835.45,286.65,242.55,3.15,3.96,0.12,2.42,11.33
2,0.8,751.91,385.39,242.55,3.47,6.05,0.12,1.98,11.43
0,0.7,705.6,415.03,242.55,4.24,1.98,0.08,1.8,15.41
1,0.64,948.64,339.57,218.3,3.15,3.63,0.1,1.62,15.18
1,0.58,705.6,339.57,218.3,3.15,3.96,0.09,1.8,15.34
2,0.63,705.6,339.57,198.45,3.85,6.05,0.1,1.98,15.19
0,0.75,889.35,404.25,242.55,3.5,1.98,0.09,2.2,12.88
2,0.75,800.42,363.82,178.6,3.85,3.0,0.08,1.98,13.0
2,0.62,978.29,363.82,266.8,3.15,4.84,0.11,1.98,12.97
1,0.75,800.42,297.68,198.45,3.85,6.05,0.08,1.62,13.04
1,0.97,565.95,355.74,99.23,6.93,1.8,0.11,3.63,24.28
1,0.97,416.74,291.06,89.31,7.7,2.97,0.09,3.63,24.4
1,0.79,509.36,291.06,109.15,7.7,4.4,0.09,3.63,24.11
1,1.08,622.55,323.4,109.15,6.93,4.95,0.09,3.63,24.35
1,0.99,507.15,350.35,121.28,7.7,2.42,0.08,2.43,28.07
0,0.89,507.15,350.35,99.23,6.93,2.7,0.12,3.3,29.01
0,0.73,681.84,286.65,134.75,8.47,3.96,0.12,3.3,29.62
0,0.89,456.44,318.5,110.25,6.3,5.5,0.1,3.0,29.05
0,0.85,529.2,238.14,177.87,6.93,2.42,0.1,2.97,25.41
2,0.85,582.12,323.4,177.87,5.67,3.63,0.12,3.0,26.47
0,0.86,711.48,238.14,132.3,7.7,3.24,0.09,2.7,26.89
2,1.04,529.2,323.4,145.53,8.47,6.05,0.11,3.63,26.46
0,0.74,551.25,315.32,119.07,7.7,2.42,0.12,3.0,22.93
0,0.9,673.75,286.65,145.53,7.0,2.97,0.1,3.63,23.84
1,0.81,606.38,385.39,145.53,7.7,4.0,0.1,3.3,24.17
2,0.74,673.75,385.39,132.3,6.93,4.95,0.08,3.0,23.87
1,0.64,573.3,277.83,145.53,6.3,1.62,0.11,2.43,35.78
2,0.96,573.3,308.7,161.7,7.0,2.97,0.1,3.63,35.48
1,0.78,637.0,343.0,132.3,6.93,3.96,0.09,2.97,36.97
2,0.96,700.7,415.03,161.7,8.47,4.05,0.1,3.3,36.7
0,0.76,595.35,337.36,110.25,7.7,1.98,0.12,2.7,32.52
1,0.92,727.65,503.97,148.23,6.3,2.43,0.11,2.97,33.28
2,0.92,535.82,337.36,121.28,6.3,4.84,0.09,2.97,32.33
0,0.75,595.35,337.36,99.23,7.0,5.0,0.12,2.43,33.24
0,0.67,754.6,321.1,242.55,3.47,1.98,0.11,2.43,10.39
0,0.89,555.66,220.5,218.3,4.24,2.97,0.1,2.43,10.34
0,0.89,679.14,242.55,198.45,3.47,4.4,0.12,2.7,10.35
1,0.74,679.14,242.55,198.45,4.24,4.5,0.1,2.97,10.38
0,0.7,710.5,218.3,218.3,4.24,2.2,0.08,2.43,10.77
0,0.71,781.55,218.3,198.45,2.84,2.97,0.09,3.3,10.68
1,0.7,781.55,296.45,198.45,4.24,3.96,0.11,3.3,10.68
0,0.86,575.51,218.3,178.6,3.85,4.95,0.09,3.3,10.7
1,0.68,661.5,355.74,178.6,3.47,1.98,0.12,2.97,11.22
0,0.84,595.35,238.14,218.3,3.15,2.43,0.12,2.7,11.16
1,0.68,727.65,291.06,242.55,3.5,4.84,0.08,2.97,11.1
2,0.68,661.5,323.4,218.3,3.15,4.05,0.09,2.97,11.14
1,0.73,919.0,318.5,198.45,2.84,2.2,0.1,3.3,11.59
1,0.65,683.55,286.65,198.45,4.24,2.43,0.12,2.97,11.6
1,0.8,683.55,350.35,266.8,4.24,3.24,0.12,2.43,11.53
1,0.59,683.55,257.98,242.55,3.15,4.05,0.12,3.63,11.61
1,0.52,635.04,308.7,218.3,4.24,1.62,0.12,2.97,15.16
0,0.63,705.6,339.57,218.3,4.24,3.3,0.12,2.7,15.36
2,0.58,635.04,308.7,220.5,3.47,3.96,0.08,2.97,15.12
0,0.52,862.4,415.03,178.6,4.24,4.05,0.12,2.43,15.36
0,0.62,654.88,297.68,178.6,4.24,1.62,0.09,2.97,12.68
2,0.68,654.88,404.25,178.6,2.84,2.97,0.11,2.43,12.63
2,0.62,654.88,330.75,266.8,3.85,4.84,0.12,3.63,12.71
1,0.5,978.29,363.82,178.6,4.24,4.05,0.09,2.7,12.73
1,0.79,565.95,323.4,99.23,6.93,1.98,0.12,3.96,24.38
1,0.88,622.55,291.06,89.31,5.67,2.97,0.1,3.96,24.23
2,1.19,416.74,323.4,133.41,6.93,4.84,0.08,4.4,24.04
2,0.97,509.36,291.06,110.25,6.93,5.5,0.1,3.96,24.32
0,1.09,557.86,350.35,110.25,6.3,1.98,0.1,3.96,29.06
2,1.09,456.44,350.35,99.23,7.7,3.3,0.1,4.84,28.05
0,0.89,507.15,318.5,148.23,6.3,4.4,0.11,3.96,28.86
0,0.73,557.86,315.32,110.25,6.93,4.05,0.12,3.96,29.79
1,0.77,582.12,291.06,147.0,7.7,2.42,0.11,4.4,26.44
2,0.95,646.8,264.6,119.07,6.93,2.97,0.08,4.84,25.37
2,0.77,582.12,264.6,132.3,6.3,4.84,0.09,3.96,26.33
2,0.77,582.12,294.0,119.07,8.47,5.5,0.12,4.4,27.03
0,0.81,606.38,257.98,132.3,6.3,1.98,0.1,3.24,23.8
1,0.67,496.12,257.98,132.3,6.93,3.3,0.1,3.6,22.8
0,0.81,606.38,315.32,119.07,8.47,4.84,0.1,4.84,23.59
1,0.81,606.38,286.65,145.53,7.7,4.5,0.12,3.96,24.24
1,0.96,700.7,377.3,132.3,5.67,1.8,0.1,4.84,36.86
2,0.71,515.97,415.03,145.53,7.0,2.97,0.08,4.4,35.89
0,0.87,630.63,308.7,177.87,6.93,3.96,0.1,3.96,35.45
2,0.78,573.3,277.83,132.3,6.93,6.05,0.08,4.84,37.1
0,0.84,654.89,503.97,110.25,6.93,2.42,0.11,4.84,33.08
2,0.68,800.42,412.34,99.23,8.47,2.43,0.1,3.6,32.38
1,0.75,654.89,458.15,121.28,8.47,3.96,0.09,3.24,33.09
0,0.68,654.88,337.36,110.25,7.0,5.5,0.09,3.96,32.31
0,0.67,679.14,198.45,218.3,2.84,1.98,0.1,4.4,10.08
1,0.6,754.6,198.45,218.3,3.47,3.63,0.1,3.96,10.15
0,0.89,679.14,220.5,220.5,3.85,4.4,0.12,4.84,10.07
2,0.67,617.4,198.45,266.8,3.5,6.05,0.12,3.24,10.14
0,0.7,859.7,218.3,218.3,3.5,2.42,0.11,3.96,10.66
0,0.7,703.4,242.55,266.8,2.84,2.43,0.08,3.96,10.68
0,0.71,703.4,218.3,178.6,3.47,3.96,0.1,3.6,10.53
0,0.7,781.55,296.45,218.3,3.15,6.05,0.11,3.24,10.72
2,0.68,661.5,321.1,198.45,2.84,1.8,0.12,4.4,11.18
2,0.56,661.5,291.06,242.55,3.15,2.43,0.11,3.6,11.22
1,0.68,727.65,291.06,218.3,3.5,3.96,0.1,4.4,11.07
0,0.76,727.65,323.4,198.45,4.24,5.5,0.08,3.96,11.2
2,0.59,751.9,257.98,218.3,4.24,2.42,0.1,3.6,11.44
1,0.8,751.9,318.5,178.6,3.15,3.63,0.12,4.4,11.42
0,0.59,683.55,350.35,218.3,3.47,3.6,0.11,3.6,11.33
2,0.66,683.55,315.32,198.45,3.15,4.5,0.11,4.4,11.43
1,0.52,705.6,415.03,218.3,3.5,1.98,0.09,3.6,15.4
2,0.64,776.16,339.57,242.55,4.24,3.0,0.09,3.6,15.19
0,0.58,776.16,415.03,178.6,4.24,4.0,0.1,4.84,15.32
0,0.52,705.6,377.3,218.3,3.47,5.5,0.11,4.84,15.16
0,0.56,978.29,363.83,198.45,3.47,1.8,0.12,4.4,12.85
0,0.62,727.65,404.25,178.6,3.47,3.3,0.1,4.4,13.04
0,0.75,654.88,297.68,218.3,3.47,4.4,0.09,4.4,13.0
0,0.56,800.42,404.25,198.45,3.5,5.5,0.11,3.96,13.0
1,0.88,463.05,355.74,109.15,8.47,2.0,0.08,5.5,24.35
1,0.88,509.36,355.74,121.28,7.7,2.7,0.1,5.0,24.33
2,0.79,565.95,323.4,133.41,8.47,4.4,0.11,5.5,24.03
0,0.79,416.74,291.06,89.31,6.3,5.5,0.1,4.05,24.26
0,0.81,681.84,315.32,121.28,6.93,2.2,0.12,4.05,29.83
2,0.89,456.44,257.98,148.23,7.7,3.3,0.12,6.05,29.08
2,0.89,456.44,350.35,134.75,8.47,3.96,0.09,4.5,28.03
1,0.9,557.86,385.39,134.75,6.93,6.05,0.08,5.5,29.02
2,0.77,582.12,264.6,161.7,7.7,1.98,0.1,4.05,27.03
2,0.77,476.28,323.4,145.53,6.93,3.3,0.08,5.5,26.45
0,1.04,476.28,355.74,119.07,5.67,4.4,0.12,4.95,25.36
0,0.86,529.2,355.74,145.53,8.47,4.95,0.1,4.95,26.45
0,0.74,551.25,315.32,119.07,6.93,1.98,0.1,4.5,24.37
1,0.67,496.12,350.35,161.7,5.67,2.97,0.12,4.05,23.89
0,0.81,551.25,385.39,161.7,7.7,3.6,0.12,4.5,22.89
2,0.81,606.38,257.98,145.53,8.47,4.5,0.09,4.5,23.86
1,0.71,515.97,308.7,147.0,7.0,1.98,0.09,6.05,37.03
0,0.96,630.63,308.7,132.3,6.93,2.97,0.09,4.95,36.71
0,0.87,515.97,377.3,119.07,6.93,3.24,0.08,5.5,36.77
0,0.78,630.63,339.57,145.53,7.0,4.05,0.12,4.95,35.48
0,0.76,727.65,503.97,134.75,6.3,1.98,0.09,5.5,32.31
1,0.76,800.42,503.97,121.28,7.7,2.97,0.1,4.5,33.21
0,0.61,727.65,458.15,134.75,6.3,3.24,0.08,5.0,32.46
2,0.61,535.82,374.85,121.28,7.0,4.95,0.1,4.5,33.27
1,0.6,754.6,242.55,198.45,3.85,2.2,0.09,6.05,10.47
1,0.67,679.14,245.0,218.3,3.47,2.43,0.12,5.0,10.37
1,0.6,754.6,242.55,242.55,3.47,4.84,0.08,4.95,10.34
0,0.89,754.6,220.5,198.45,4.24,4.95,0.1,4.95,10.39
1,0.86,639.45,266.8,266.8,3.47,1.62,0.12,4.95,10.78
1,0.71,703.4,266.8,198.45,3.47,2.97,0.11,4.05,10.7
1,0.86,575.51,326.1,242.55,3.47,4.84,0.12,6.05,10.67
0,0.86,639.45,266.8,178.6,3.5,5.5,0.1,5.0,13.69
2,0.69,808.5,291.06,198.45,3.47,1.8,0.09,4.95,11.21
2,0.84,661.5,291.06,218.3,2.84,2.7,0.12,4.5,11.14
2,0.62,808.5,291.06,178.6,3.15,3.6,0.12,4.5,11.11
0,0.68,661.5,294.0,266.8,2.84,6.05,0.09,4.95,11.16
2,0.53,919.0,350.35,198.45,4.24,1.8,0.1,5.5,11.38
1,0.8,751.91,315.32,218.3,4.24,3.63,0.09,4.95,11.34
1,0.53,919.0,321.1,218.3,3.85,3.96,0.1,5.5,11.22
0,0.73,683.55,286.65,266.8,2.84,6.05,0.08,5.5,11.34
2,0.52,776.16,339.57,218.3,4.24,2.2,0.1,6.05,15.16
1,0.77,635.04,377.3,266.8,3.85,2.43,0.12,4.5,15.37
1,0.7,705.6,321.1,242.55,3.47,3.96,0.11,4.95,15.12
1,0.63,635.04,339.57,198.45,3.47,4.95,0.1,4.95,15.36
0,0.62,654.88,367.5,242.55,2.84,1.62,0.09,6.05,12.59
2,0.61,889.35,297.68,242.55,3.85,3.63,0.1,5.5,12.74
2,0.68,654.88,404.25,218.3,3.47,3.96,0.09,4.05,12.8
0,0.56,889.35,367.5,218.3,4.24,4.5,0.1,5.5,12.62
2,0.97,416.74,355.74,89.31,6.3,2.0,0.22,0.9,28.15
0,0.97,416.74,238.14,109.15,6.93,3.63,0.22,0.99,28.15
2,0.79,622.55,291.06,109.15,7.0,3.96,0.22,1.21,28.37
0,1.19,416.74,291.06,99.23,6.93,6.05,0.24,0.99,28.41
2,0.73,557.86,350.35,121.28,6.93,1.62,0.2,1.21,32.68
0,1.09,507.15,257.98,110.25,7.7,3.63,0.2,0.9,33.48
0,0.73,681.84,385.39,121.28,7.7,3.96,0.24,0.9,32.84
0,0.89,557.86,257.98,134.75,8.47,6.05,0.28,0.99,32.0
2,0.85,582.12,321.1,161.7,6.3,1.98,0.28,1.1,29.54
2,1.04,476.28,323.4,145.53,6.3,3.63,0.25,1.1,30.05
0,0.86,476.28,291.06,145.53,6.93,4.0,0.28,1.1,29.6
0,0.85,582.12,291.06,119.07,7.0,4.95,0.22,0.99,28.66
0,0.99,606.38,350.35,145.53,8.47,2.0,0.31,0.81,26.84
0,0.9,496.12,315.32,119.07,6.3,3.63,0.24,0.9,27.27
2,0.9,496.12,318.5,132.3,7.7,3.6,0.24,1.21,26.97
0,0.81,612.5,385.39,145.53,6.93,5.5,0.2,0.81,26.19
2,0.64,630.63,377.3,132.3,5.67,1.98,0.31,0.99,38.67
1,0.87,573.3,277.83,145.53,6.3,2.97,0.2,1.1,40.03
2,0.71,700.7,308.7,119.07,6.93,3.6,0.31,0.81,39.86
0,0.64,573.3,377.3,177.87,6.93,5.5,0.25,1.21,39.04
2,0.61,535.82,412.34,134.75,6.93,1.8,0.2,1.21,36.96
2,0.75,727.65,412.34,99.23,6.93,2.97,0.2,0.9,36.13
2,0.76,727.65,412.34,121.28,8.47,4.4,0.31,0.81,36.91
2,0.68,654.88,412.34,121.28,6.93,4.5,0.25,1.21,36.43
0,0.81,754.6,242.55,218.3,4.24,2.42,0.25,0.9,12.43
0,0.74,679.14,321.1,242.55,3.15,3.3,0.24,0.9,12.5
2,0.89,617.4,220.5,178.6,2.84,4.4,0.24,1.0,12.41
2,0.81,830.06,242.55,242.55,3.47,4.05,0.24,0.99,12.45
1,0.7,703.4,218.3,266.8,2.84,1.8,0.31,0.81,12.57
2,0.78,639.45,266.8,242.55,3.47,2.7,0.2,0.81,12.65
1,0.7,575.51,296.45,198.45,3.47,3.24,0.2,1.1,12.57
1,0.7,703.4,296.45,178.6,3.47,6.05,0.28,0.99,12.63
1,0.62,595.35,238.14,218.3,3.47,2.2,0.25,0.9,12.78
2,0.76,808.5,355.74,266.8,3.47,3.3,0.25,0.9,12.93
0,0.68,661.5,355.74,198.45,2.84,3.96,0.22,0.99,12.73
0,0.62,889.35,291.06,198.45,2.84,6.05,0.31,0.9,12.72
1,0.59,683.55,350.35,242.55,3.47,2.42,0.25,0.9,13.17
2,0.65,751.91,315.32,266.8,2.84,2.97,0.31,1.0,13.18
1,0.66,751.91,350.35,218.3,3.85,4.4,0.22,0.9,13.17
0,0.73,919.0,315.32,242.55,3.47,5.5,0.24,1.21,13.18
2,0.77,862.4,321.1,218.3,4.24,2.42,0.31,0.99,17.5
1,0.63,776.16,308.7,218.3,3.47,2.97,0.31,0.99,17.35
0,0.77,948.64,339.57,218.3,3.47,3.6,0.31,0.99,17.52
1,0.52,635.04,377.3,198.45,3.47,4.05,0.24,1.1,17.37
2,0.68,800.42,330.75,178.6,3.15,1.62,0.24,0.81,15.09
0,0.68,727.65,321.1,242.55,3.47,2.7,0.2,0.99,15.12
2,0.61,800.42,363.82,242.55,2.84,3.96,0.24,0.99,15.08
2,0.61,889.35,404.25,198.45,2.84,6.05,0.28,0.81,15.16
1,0.88,509.36,355.74,133.41,6.93,1.62,0.25,2.2,28.67
1,0.97,565.95,323.4,109.15,6.3,2.97,0.28,1.62,28.57
1,0.98,463.05,323.4,133.41,7.7,4.0,0.28,1.98,28.18
0,0.97,622.55,291.06,109.15,6.93,6.05,0.28,2.0,28.6
2,0.99,507.15,350.35,148.23,7.7,1.8,0.25,1.62,32.46
0,0.89,557.86,315.32,121.28,7.7,2.97,0.28,2.2,33.27
1,0.81,563.5,315.32,121.28,6.93,3.96,0.24,2.42,32.33
2,0.89,557.86,385.39,122.5,7.0,4.05,0.22,1.8,31.66
0,0.85,711.48,323.4,132.3,5.67,2.2,0.22,2.2,29.34
1,0.85,582.12,321.1,177.87,6.3,2.97,0.28,2.2,29.87
0,0.69,582.12,264.6,161.7,8.47,3.24,0.25,1.8,29.27
0,0.85,582.12,291.06,145.53,5.67,4.05,0.31,1.8,28.4
1,0.81,606.38,321.1,161.7,5.67,1.62,0.31,1.62,25.74
2,0.67,741.13,315.32,177.87,6.3,2.7,0.25,1.62,25.98
2,0.74,741.13,286.65,161.7,7.0,3.96,0.24,2.2,25.38
1,0.81,496.12,350.35,145.53,7.7,4.95,0.25,1.62,24.94
2,0.96,630.63,308.7,145.53,7.7,1.98,0.25,2.42,38.57
0,0.78,573.3,415.03,161.7,7.7,2.7,0.22,1.62,40.19
2,0.64,630.63,277.83,119.07,6.3,3.6,0.31,2.42,39.97
1,0.64,700.7,377.3,119.07,6.3,5.5,0.24,1.98,38.98
0,0.84,654.88,337.36,121.28,6.93,2.0,0.22,1.98,36.95
2,0.75,800.42,458.15,110.25,7.7,2.7,0.22,2.0,36.28
1,0.84,595.35,337.36,110.25,6.93,3.6,0.2,1.62,36.86
2,0.76,595.35,412.34,121.28,7.7,5.5,0.31,2.42,36.45
1,0.74,679.14,242.55,218.3,3.47,2.2,0.31,1.98,12.35
0,0.81,555.66,198.45,218.3,3.47,2.43,0.31,1.8,12.45
2,0.74,686.0,321.1,218.3,3.15,3.96,0.31,2.2,12.16
0,0.6,617.4,220.5,266.8,3.47,5.5,0.25,1.62,12.3
2,0.7,575.51,266.8,218.3,3.85,2.0,0.25,1.98,12.33
0,0.7,710.5,242.55,266.8,3.85,3.3,0.25,2.42,12.29
